,ant,frame,video,colony,date,t,x,y
152,3,15438,1,1,1/11/17,20:12:18,1100,904
153,3,15439,1,1,1/11/17,20:12:18,1084,912
154,3,15440,1,1,1/11/17,20:12:18,1060,920
155,3,15441,1,1,1/11/17,20:12:18,1032,916
156,3,15442,1,1,1/11/17,20:12:18,1012,936
157,3,15443,1,1,1/11/17,20:12:18,980,936
158,3,15444,1,1,1/11/17,20:12:18,948,952
159,3,15445,1,1,1/11/17,20:12:18,936,952
160,3,15446,1,1,1/11/17,20:12:18,908,956
161,3,15447,1,1,1/11/17,20:12:18,908,964
162,3,15448,1,1,1/11/17,20:12:18,908,956
163,3,15449,1,1,1/11/17,20:12:18,912,960
164,3,15450,1,1,1/11/17,20:12:18,908,964
165,3,15451,1,1,1/11/17,20:12:19,860,944
166,3,15452,1,1,1/11/17,20:12:19,836,960
167,3,15453,1,1,1/11/17,20:12:19,824,956
168,3,15454,1,1,1/11/17,20:12:19,792,956
169,3,15455,1,1,1/11/17,20:12:19,788,956
170,3,15456,1,1,1/11/17,20:12:19,768,956
171,3,15457,1,1,1/11/17,20:12:19,768,960
172,3,15458,1,1,1/11/17,20:12:19,760,964
173,3,15459,1,1,1/11/17,20:12:19,732,964
174,3,15460,1,1,1/11/17,20:12:19,704,968
175,3,15461,1,1,1/11/17,20:12:19,700,964
176,3,15462,1,1,1/11/17,20:12:19,688,968
177,3,15463,1,1,1/11/17,20:12:19,684,968
178,3,15464,1,1,1/11/17,20:12:19,672,972
179,3,15465,1,1,1/11/17,20:12:19,648,976
180,3,15466,1,1,1/11/17,20:12:19,644,976
181,3,15467,1,1,1/11/17,20:12:19,636,972
182,3,15468,1,1,1/11/17,20:12:19,636,972
183,3,15469,1,1,1/11/17,20:12:19,620,976
184,3,15470,1,1,1/11/17,20:12:19,616,972
185,3,15471,1,1,1/11/17,20:12:19,608,972
186,3,15472,1,1,1/11/17,20:12:19,608,972
187,3,15473,1,1,1/11/17,20:12:19,608,972
188,3,15474,1,1,1/11/17,20:12:19,532,980
189,3,15475,1,1,1/11/17,20:12:19,524,980
190,3,15476,1,1,1/11/17,20:12:20,488,980
191,3,15477,1,1,1/11/17,20:12:20,480,988
