,ant,frame,video,colony,date,t,x,y
1003025,15,44125,1,6,1/15/17,19:50:33,1324,192
1003026,15,44126,1,6,1/15/17,19:50:33,1336,200
1003027,15,44127,1,6,1/15/17,19:50:33,1340,208
1003028,15,44128,1,6,1/15/17,19:50:33,1336,220
1003029,15,44129,1,6,1/15/17,19:50:33,1332,228
1003030,15,44130,1,6,1/15/17,19:50:33,1324,240
1003031,15,44131,1,6,1/15/17,19:50:33,1312,252
1003032,15,44132,1,6,1/15/17,19:50:33,1304,260
1003033,15,44133,1,6,1/15/17,19:50:33,1292,268
1003034,15,44134,1,6,1/15/17,19:50:33,1268,284
1003035,15,44135,1,6,1/15/17,19:50:33,1260,296
1003036,15,44136,1,6,1/15/17,19:50:33,1220,312
1003037,15,44137,1,6,1/15/17,19:50:33,1176,332
1003038,15,44138,1,6,1/15/17,19:50:33,1160,344
1003039,15,44139,1,6,1/15/17,19:50:33,1124,368
1003040,15,44140,1,6,1/15/17,19:50:33,1124,368
1003041,15,44141,1,6,1/15/17,19:50:33,1140,372
1003042,15,44142,1,6,1/15/17,19:50:33,1140,368
1003043,15,44143,1,6,1/15/17,19:50:33,1140,364
1003044,15,44144,1,6,1/15/17,19:50:33,1136,368
1003045,15,44145,1,6,1/15/17,19:50:33,1132,368
1003046,15,44146,1,6,1/15/17,19:50:34,1124,368
1003047,15,44147,1,6,1/15/17,19:50:34,1120,364
1003048,15,44148,1,6,1/15/17,19:50:34,1132,364
1003049,15,44149,1,6,1/15/17,19:50:34,1136,368
1003050,15,44150,1,6,1/15/17,19:50:34,1140,368
1003051,15,44151,1,6,1/15/17,19:50:34,1132,368
1003052,15,44152,1,6,1/15/17,19:50:34,1136,376
1003053,15,44153,1,6,1/15/17,19:50:34,1140,384
1003054,15,44154,1,6,1/15/17,19:50:34,1140,380
1003055,15,44155,1,6,1/15/17,19:50:34,1140,380
1003056,15,44156,1,6,1/15/17,19:50:34,1140,380
1003057,15,44157,1,6,1/15/17,19:50:34,1140,384
1003058,15,44158,1,6,1/15/17,19:50:34,1140,384
1003059,15,44159,1,6,1/15/17,19:50:34,1140,384
1003060,15,44160,1,6,1/15/17,19:50:34,1140,388
1003061,15,44161,1,6,1/15/17,19:50:34,1140,392
1003062,15,44162,1,6,1/15/17,19:50:34,1136,392
1003063,15,44163,1,6,1/15/17,19:50:34,1140,392
1003064,15,44164,1,6,1/15/17,19:50:34,1140,392
1003065,15,44165,1,6,1/15/17,19:50:34,1140,396
1003066,15,44166,1,6,1/15/17,19:50:34,1140,396
1003067,15,44167,1,6,1/15/17,19:50:34,1140,396
1003068,15,44168,1,6,1/15/17,19:50:34,1144,400
1003069,15,44169,1,6,1/15/17,19:50:34,1132,404
1003070,15,44170,1,6,1/15/17,19:50:34,1124,400
1003071,15,44171,1,6,1/15/17,19:50:34,1120,412
1003072,15,44172,1,6,1/15/17,19:50:34,1112,416
1003073,15,44173,1,6,1/15/17,19:50:34,1112,420
1003074,15,44174,1,6,1/15/17,19:50:34,1124,424
1003075,15,44175,1,6,1/15/17,19:50:34,1132,424
1003076,15,44176,1,6,1/15/17,19:50:35,1136,432
1003077,15,44177,1,6,1/15/17,19:50:35,1116,456
1003078,15,44178,1,6,1/15/17,19:50:35,1108,476
1003079,15,44179,1,6,1/15/17,19:50:35,1108,484
1003080,15,44180,1,6,1/15/17,19:50:35,1128,508
1003081,15,44181,1,6,1/15/17,19:50:35,1132,508
1003082,15,44182,1,6,1/15/17,19:50:35,1136,504
1003083,15,44183,1,6,1/15/17,19:50:35,1148,504
1003084,15,44184,1,6,1/15/17,19:50:35,1136,528
1003085,15,44185,1,6,1/15/17,19:50:35,1124,532
1003086,15,44186,1,6,1/15/17,19:50:35,1120,528
1003087,15,44187,1,6,1/15/17,19:50:35,1124,532
1003088,15,44188,1,6,1/15/17,19:50:35,1128,528
1003089,15,44189,1,6,1/15/17,19:50:35,1140,520
1003090,15,44190,1,6,1/15/17,19:50:35,1140,520
1003091,15,44191,1,6,1/15/17,19:50:35,1136,528
1003092,15,44192,1,6,1/15/17,19:50:35,1140,536
1003093,15,44193,1,6,1/15/17,19:50:35,1128,540
1003094,15,44194,1,6,1/15/17,19:50:35,1116,548
1003095,15,44195,1,6,1/15/17,19:50:35,1104,552
1003096,15,44196,1,6,1/15/17,19:50:35,1100,552
1003097,15,44197,1,6,1/15/17,19:50:35,1092,560
1003098,15,44198,1,6,1/15/17,19:50:35,1084,564
1003099,15,44199,1,6,1/15/17,19:50:35,1068,572
1003100,15,44200,1,6,1/15/17,19:50:35,1060,556
1003101,15,44201,1,6,1/15/17,19:50:35,1044,556
1003102,15,44202,1,6,1/15/17,19:50:35,1036,580
1003103,15,44203,1,6,1/15/17,19:50:35,1000,604
1003104,15,44204,1,6,1/15/17,19:50:35,1000,608
1003105,15,44205,1,6,1/15/17,19:50:35,984,612
1003106,15,44206,1,6,1/15/17,19:50:36,984,612
1003107,15,44207,1,6,1/15/17,19:50:36,988,608
1003108,15,44208,1,6,1/15/17,19:50:36,992,608
1003109,15,44209,1,6,1/15/17,19:50:36,988,612
1003110,15,44210,1,6,1/15/17,19:50:36,988,616
1003111,15,44211,1,6,1/15/17,19:50:36,984,624
1003112,15,44212,1,6,1/15/17,19:50:36,984,628
1003113,15,44213,1,6,1/15/17,19:50:36,988,628
1003114,15,44214,1,6,1/15/17,19:50:36,992,624
1003115,15,44215,1,6,1/15/17,19:50:36,1000,620
1003116,15,44216,1,6,1/15/17,19:50:36,1000,612
1003117,15,44217,1,6,1/15/17,19:50:36,1000,612
1003118,15,44218,1,6,1/15/17,19:50:36,996,604
1003119,15,44219,1,6,1/15/17,19:50:36,992,604
1003120,15,44220,1,6,1/15/17,19:50:36,964,624
1003121,15,44221,1,6,1/15/17,19:50:36,956,636
1003122,15,44222,1,6,1/15/17,19:50:36,952,632
1003123,15,44223,1,6,1/15/17,19:50:36,940,636
